date,ticker,open,high,low,close,MA_3
2010-11-23,BTC,0.2879,0.2879,0.276,0.2829,0.28250000000000003
2010-11-24,BTC,0.2829,0.283,0.2761,0.283,0.28459999999999996
2010-11-25,BTC,0.283,0.283,0.278,0.28,0.28196666666666664
2010-11-26,BTC,0.28,0.289,0.2761,0.2844,0.28246666666666664
2010-11-27,BTC,0.2844,0.2844,0.2826,0.283,0.2824666666666667
2010-11-28,BTC,0.283,0.2846,0.27,0.27,0.2791333333333333
2010-11-29,BTC,0.27,0.279,0.2151,0.2299,0.2609666666666666
2010-11-30,BTC,0.2299,0.2299,0.204,0.2082,0.23603333333333332
2010-12-01,BTC,0.2082,0.2299,0.2082,0.2275,0.22186666666666666
2010-12-02,BTC,0.2275,0.2553,0.218,0.255,0.23023333333333332
2010-12-03,BTC,0.255,0.2552,0.243,0.251,0.24450000000000002
2010-12-04,BTC,0.251,0.2589,0.205,0.205,0.237
2010-12-05,BTC,0.205,0.235,0.19,0.19,0.2153333333333333
2010-12-06,BTC,0.19,0.225,0.1841,0.204,0.19966666666666666
2010-12-07,BTC,0.204,0.2477,0.1701,0.233,0.209
2010-12-08,BTC,0.233,0.24,0.22,0.2388,0.22526666666666664
2010-12-09,BTC,0.2388,0.2388,0.1701,0.2,0.22393333333333332
2010-12-10,BTC,0.2,0.204,0.1825,0.204,0.2142666666666667
2010-12-11,BTC,0.204,0.228,0.1907,0.228,0.21066666666666667
2010-12-12,BTC,0.228,0.228,0.2068,0.22,0.2173333333333333
2010-12-13,BTC,0.22,0.23,0.21,0.2299,0.22596666666666665
2010-12-14,BTC,0.2299,0.2468,0.21,0.2467,0.2322
2010-12-15,BTC,0.2467,0.2467,0.238,0.238,0.23819999999999997
2010-12-16,BTC,0.238,0.255,0.2222,0.25,0.24489999999999998
2010-12-17,BTC,0.25,0.25,0.24,0.24,0.24266666666666661
2010-12-18,BTC,0.24,0.2488,0.24,0.241,0.24366666666666661
2010-12-19,BTC,0.241,0.2499,0.24,0.2401,0.24036666666666662
2010-12-20,BTC,0.2401,0.275,0.24,0.267,0.24936666666666663
2010-12-21,BTC,0.267,0.267,0.24,0.24,0.2490333333333333
2010-12-22,BTC,0.24,0.25,0.24,0.25,0.2523333333333333
2010-12-23,BTC,0.25,0.25,0.241,0.25,0.24666666666666662
2010-12-24,BTC,0.25,0.25,0.242,0.248,0.2493333333333333
2010-12-25,BTC,0.248,0.25,0.2475,0.2499,0.24929999999999997
2010-12-26,BTC,0.2499,0.27,0.2464,0.265,0.25429999999999997
2010-12-27,BTC,0.265,0.27,0.251,0.265,0.2599666666666666
2010-12-28,BTC,0.265,0.281,0.2612,0.281,0.2703333333333333
2010-12-29,BTC,0.281,0.301,0.271,0.3,0.282
2010-12-30,BTC,0.3,0.3,0.291,0.3,0.29366666666666663
2010-12-31,BTC,0.3,0.3,0.292,0.3,0.3
2011-01-01,BTC,0.3,0.3,0.292,0.3,0.3
2011-01-02,BTC,0.3,0.3,0.289,0.3,0.3
2011-01-03,BTC,0.3,0.3,0.29,0.295,0.2983333333333333
2011-01-04,BTC,0.295,0.2999,0.289,0.2989,0.29796666666666666
2011-01-05,BTC,0.2989,0.299,0.29,0.299,0.29763333333333325
2011-01-06,BTC,0.299,0.299,0.29,0.298,0.2986333333333333
2011-01-07,BTC,0.298,0.322,0.2975,0.32,0.30566666666666664
2011-01-08,BTC,0.32,0.3229,0.309,0.3229,0.31363333333333326
2011-01-09,BTC,0.3229,0.323,0.3229,0.323,0.3219666666666666
2011-01-10,BTC,0.323,0.329,0.3175,0.3266,0.32416666666666666
2011-01-11,BTC,0.3266,0.3266,0.3176,0.3266,0.32539999999999997
2011-01-12,BTC,0.3266,0.3557,0.318,0.3188,0.32399999999999995
2011-01-13,BTC,0.3188,0.405,0.3176,0.3176,0.32099999999999995
2011-01-14,BTC,0.3176,0.45,0.3176,0.4,0.34546666666666664
2011-01-15,BTC,0.4,0.4,0.385,0.386,0.3678666666666666
2011-01-16,BTC,0.386,0.4,0.386,0.3868,0.3909333333333333
2011-01-17,BTC,0.3868,0.3868,0.315,0.3495,0.37409999999999993
2011-01-18,BTC,0.3495,0.3495,0.305,0.313,0.3497666666666666
2011-01-19,BTC,0.313,0.313,0.305,0.313,0.3251666666666666
2011-01-20,BTC,0.313,0.39,0.31,0.39,0.33866666666666667
2011-01-21,BTC,0.39,0.44,0.368,0.4199,0.3743
2011-01-22,BTC,0.4199,0.4443,0.39,0.4443,0.41806666666666664
2011-01-23,BTC,0.4443,0.4443,0.42,0.4424,0.43553333333333333
2011-01-24,BTC,0.4424,0.4424,0.381,0.4199,0.43553333333333333
2011-01-25,BTC,0.4199,0.425,0.4,0.41,0.4241
2011-01-26,BTC,0.41,0.42,0.3904,0.417,0.4156333333333333
2011-01-27,BTC,0.417,0.45,0.4085,0.4212,0.41606666666666664
2011-01-28,BTC,0.4212,0.446,0.4212,0.446,0.4280666666666666
2011-01-29,BTC,0.446,0.446,0.43,0.439,0.43539999999999995
2011-01-30,BTC,0.439,0.48,0.439,0.4799,0.4549666666666666
2011-01-31,BTC,0.4799,0.95,0.47,0.52,0.4796333333333333
2011-02-01,BTC,0.52,0.85,0.52,0.7,0.5666333333333332
2011-02-02,BTC,0.7,0.76,0.69,0.716,0.6453333333333332
2011-02-03,BTC,0.716,0.75,0.6501,0.69,0.702
2011-02-04,BTC,0.69,0.88,0.67,0.811,0.7389999999999999
2011-02-05,BTC,0.811,0.92,0.811,0.92,0.8069999999999999
2011-02-06,BTC,0.92,0.92,0.83,0.8997,0.8769
2011-02-07,BTC,0.8997,0.9,0.83,0.89,0.9032333333333332
2011-02-08,BTC,0.89,0.918,0.8617,0.918,0.9025666666666666
2011-02-09,BTC,0.918,1.09,0.82,1.09,0.9659999999999999
2011-02-10,BTC,1.09,1.1,0.8,0.9803,0.9960999999999999
2011-02-11,BTC,0.9803,1.09,0.9264,1.07,1.0467666666666666
2011-02-12,BTC,1.07,1.08,0.9906,1.08,1.0434333333333332
2011-02-13,BTC,1.08,1.08,1.02,1.05,1.0666666666666664
2011-02-14,BTC,1.05,1.08,1.03,1.07,1.0666666666666667
2011-02-15,BTC,1.07,1.09,1.03,1.05,1.0566666666666666
2011-02-16,BTC,1.05,1.05,1.02,1.05,1.0566666666666666
2011-02-17,BTC,1.05,1.05,1.02,1.04,1.0466666666666666
2011-02-18,BTC,1.04,1.04,0.7801,0.8989,0.9963000000000001
2011-02-19,BTC,0.8989,0.98,0.8376,0.949,0.9626333333333332
2011-02-20,BTC,0.949,0.949,0.83,0.85,0.8992999999999999
2011-02-21,BTC,0.85,0.8796,0.8313,0.8345,0.8778333333333332
2011-02-22,BTC,0.8345,0.95,0.8313,0.8702,0.8515666666666665
2011-02-23,BTC,0.8702,0.945,0.8681,0.9,0.8682333333333331
2011-02-24,BTC,0.9,1.0,0.9,0.9974,0.9225333333333331
2011-02-25,BTC,0.9974,0.9998,0.9111,0.9111,0.9361666666666665
2011-02-26,BTC,0.9111,0.97,0.9106,0.958,0.9554999999999998
2011-02-27,BTC,0.958,0.958,0.89,0.89,0.9196999999999999
2011-02-28,BTC,0.89,0.92,0.845,0.86,0.9026666666666664
2011-03-01,BTC,0.86,0.97,0.8502,0.9202,0.8900666666666665
2011-03-02,BTC,0.9202,0.94,0.9102,0.9399,0.9066999999999998
2011-03-03,BTC,0.9399,0.9399,0.91,0.9391,0.9330666666666666
2011-03-04,BTC,0.9391,0.9391,0.9001,0.901,0.9266666666666664
2011-03-05,BTC,0.901,0.9189,0.8111,0.9103,0.9167999999999998
2011-03-06,BTC,0.9103,0.9103,0.81,0.8999,0.9037333333333333
2011-03-07,BTC,0.8999,0.909,0.846,0.885,0.8984
2011-03-08,BTC,0.885,0.885,0.85,0.87,0.8849666666666666
2011-03-09,BTC,0.87,0.87,0.85,0.8645,0.8731666666666665
2011-03-10,BTC,0.8645,0.9329,0.8497,0.9329,0.8891333333333332
2011-03-11,BTC,0.9329,0.9329,0.8601,0.88,0.8924666666666665
2011-03-12,BTC,0.88,0.9197,0.88,0.918,0.9102999999999998
2011-03-13,BTC,0.918,0.918,0.8898,0.8925,0.8968333333333333
2011-03-14,BTC,0.8925,0.9,0.88,0.8949,0.9017999999999998
2011-03-15,BTC,0.8949,0.8949,0.87,0.87,0.8857999999999998
2011-03-16,BTC,0.87,0.88,0.836,0.86,0.8749666666666664
2011-03-17,BTC,0.86,0.88,0.81,0.8254,0.8517999999999999
2011-03-18,BTC,0.8254,0.8506,0.71,0.8165,0.8339666666666665
2011-03-19,BTC,0.8165,0.8165,0.7313,0.765,0.8022999999999999
2011-03-20,BTC,0.765,0.79,0.7402,0.7411,0.7741999999999999
2011-03-21,BTC,0.7411,0.7724,0.7405,0.759,0.7550333333333331
2011-03-22,BTC,0.759,0.81,0.7405,0.809,0.7696999999999998
2011-03-23,BTC,0.809,0.85,0.78,0.8497,0.8058999999999998
2011-03-24,BTC,0.8497,0.9,0.8266,0.8669,0.8418666666666667
2011-03-25,BTC,0.8669,0.89,0.861,0.8838,0.8667999999999999
2011-03-26,BTC,0.8838,0.905,0.841,0.8552,0.8686333333333333
2011-03-27,BTC,0.8552,0.8721,0.8152,0.82,0.8529999999999998
2011-03-28,BTC,0.82,0.85,0.76,0.799,0.8247333333333332
2011-03-29,BTC,0.799,0.7997,0.7648,0.7925,0.8038333333333331
2011-03-30,BTC,0.7925,0.795,0.766,0.7897,0.7937333333333333
2011-03-31,BTC,0.7897,0.801,0.768,0.7846,0.7889333333333332
2011-04-01,BTC,0.7846,0.797,0.7741,0.7741,0.7827999999999998
2011-04-02,BTC,0.7741,0.7998,0.7741,0.782,0.7802333333333332
2011-04-03,BTC,0.782,0.7949,0.777,0.779,0.7783666666666665
